TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON,SEASON_TYPE
1610612737,Atlanta Hawks,82,43,39,0.524,48.5,38.1,84.4,0.451,8.9,26.1,0.341,18.1,24.9,0.728,10.3,34.1,44.3,23.6,15.8,8.2,4.8,5.2,18.2,21.6,103.2,-0.9,1,11,11,11,4,23,22,18,20,16,23,13,5,28,14,10,9,10,28,7,14,22,6,3,22,19,2016-17,Regular Season
1610612738,Boston Celtics,82,53,29,0.646,48.2,38.6,85.1,0.454,12.0,33.4,0.359,18.7,23.2,0.807,9.1,32.9,42.0,25.2,13.3,7.5,4.1,5.2,20.6,20.3,108.0,2.6,1,4,4,4,25,21,18,16,3,3,14,10,15,3,22,22,27,4,8,18,23,23,21,11,7,8,2016-17,Regular Season
1610612751,Brooklyn Nets,82,20,62,0.244,48.2,37.8,85.2,0.444,10.7,31.6,0.338,19.4,24.6,0.788,8.8,35.1,43.9,21.4,16.5,7.2,4.7,5.6,21.0,20.4,105.8,-6.7,1,30,30,30,25,25,17,24,6,4,26,4,7,9,26,1,10,20,29,21,18,30,25,9,12,29,2016-17,Regular Season
1610612766,Charlotte Hornets,82,36,46,0.439,48.4,37.7,85.4,0.442,10.0,28.6,0.351,19.4,23.8,0.815,8.8,34.8,43.6,23.1,11.5,7.0,4.8,5.5,16.6,19.9,104.9,0.2,1,20,20,20,10,26,15,26,11,9,18,5,10,1,26,4,16,11,1,27,17,28,1,15,16,15,2016-17,Regular Season
1610612741,Chicago Bulls,82,41,41,0.5,48.2,38.6,87.1,0.444,7.6,22.3,0.34,18.0,22.5,0.798,12.2,34.1,46.3,22.6,13.6,7.8,4.8,4.6,17.7,18.8,102.9,0.4,1,15,15,15,18,20,8,25,28,29,24,15,19,6,2,9,3,14,12,15,16,12,2,25,23,14,2016-17,Regular Season
1610612739,Cleveland Cavaliers,82,51,31,0.622,48.5,39.9,84.9,0.47,13.0,33.9,0.384,17.5,23.3,0.748,9.3,34.4,43.7,22.7,13.7,6.6,4.0,4.3,18.1,20.6,110.3,3.2,1,5,5,5,4,5,19,5,2,2,2,19,13,23,21,7,12,13,14,30,25,8,4,6,4,7,2016-17,Regular Season
1610612742,Dallas Mavericks,82,33,49,0.402,48.2,36.2,82.3,0.44,10.7,30.2,0.355,14.8,18.5,0.801,7.9,30.7,38.6,20.8,11.9,7.5,3.7,3.4,19.1,19.4,97.9,-2.9,1,22,22,22,18,30,27,29,5,6,16,29,30,4,30,30,30,27,2,19,30,2,9,21,30,23,2016-17,Regular Season
1610612743,Denver Nuggets,82,40,42,0.488,48.2,41.2,87.7,0.469,10.6,28.8,0.368,18.7,24.2,0.774,11.8,34.6,46.4,25.3,15.0,6.9,3.9,4.9,19.1,20.2,111.7,0.5,1,18,18,18,25,3,4,6,7,8,11,9,8,17,5,6,2,2,23,28,27,15,9,13,3,12,2016-17,Regular Season
1610612765,Detroit Pistons,82,37,45,0.451,48.3,39.9,88.8,0.449,7.7,23.4,0.33,13.9,19.3,0.719,11.1,34.6,45.7,21.1,11.9,7.0,3.8,4.1,17.9,17.5,101.3,-1.1,1,19,19,19,13,7,1,22,27,26,28,30,29,29,8,5,4,24,3,25,29,6,3,30,26,21,2016-17,Regular Season
1610612744,Golden State Warriors,82,67,15,0.817,48.2,43.1,87.1,0.495,12.0,31.2,0.383,17.8,22.6,0.788,9.4,35.0,44.4,30.4,14.8,9.6,6.8,3.8,19.3,19.4,115.9,11.6,1,1,1,1,18,1,9,1,4,5,3,17,18,11,20,3,7,1,22,1,1,4,12,22,1,1,2016-17,Regular Season
